transaction_date,campaign_type,symbol,author_price,amount,daily_low,daily_high,range_valid,future_3d_low,gap_to_future_low_pct,near_low_0_5,near_low_1,near_low_2,episode_range_percentile,stage_high_proxy,prior_20d_high,future_20d_low,future_20d_drawdown_pct,stage_high_20d_proxy,d1_open,d1_vs_author_pct,d4_open,d4_vs_author_pct,atr14,limit_0_5atr_filled,limit_1atr_filled,staged_price,staged_vs_author_pct
2024-11-15,recurring,RSP,180.9,1999.84,180.649994,182.330002,True,179.649994,0.6958,False,True,True,0.4664,False,185.789993,179.649994,0.6958,False,181.110001,0.1161,182.399994,0.8292,1.832145,True,False,181.473479,0.317
2024-11-15,recurring,VNQ,93.37,2064.07,93.010002,93.980003,True,93.220001,0.1609,True,True,True,0.1667,False,97.610001,93.220001,0.1609,False,93.379997,0.0107,94.839996,1.5744,1.53,False,False,94.474997,1.1835
2024-11-15,recurring,MOAT,95.04,2005.75,94.650002,96.110001,True,94.110001,0.9882,False,True,True,0.465,False,98.269997,94.110001,0.9882,False,94.669998,-0.3893,95.57,0.5577,1.065713,True,False,95.079285,0.0413
2024-12-18,recurring,PFF,31.74,2009.56,31.58,32.029999,True,31.34,1.2763,False,False,True,0.5797,False,32.98,30.83,2.9517,False,31.48,-0.8192,31.450001,-0.9137,0.208572,True,True,31.524286,-0.6796
2024-12-18,recurring,IWY,241.55,1942.35,235.130005,244.820007,True,233.369995,3.5052,False,False,False,0.7144,True,245.039993,228.960007,5.4988,True,238.229996,-1.3745,241.449997,-0.0414,3.075713,True,True,239.541606,-0.8315
2024-12-18,recurring,VNQ,90.47,2090.76,89.209999,93.269997,True,87.790001,3.0527,False,False,False,0.4891,False,99.199997,85.279999,6.0858,False,89.470001,-1.1053,88.550003,-2.1222,1.255714,True,True,89.269108,-1.3274
2024-12-18,recurring,MOAT,95.38,2012.87,93.980003,97.07,True,92.93,2.6364,False,False,False,0.5918,False,99.059998,90.739998,5.1135,False,94.5,-0.9226,93.879997,-1.5727,0.914284,True,True,94.442143,-0.9833
2024-12-18,recurring,RSP,177.56,1963.09,174.660004,180.570007,True,173.690002,2.2281,False,False,False,0.5625,False,188.160004,172.380005,3.005,False,175.699997,-1.0475,176.369995,-0.6702,1.602141,True,True,176.196695,-0.7678
2025-01-10,recurring,PFF,31.28,2011.68,31.059999,31.35,True,30.83,1.4596,False,False,True,0.5114,False,32.59,30.83,1.4596,False,31.030001,-0.7992,31.67,1.2468,0.263572,True,True,31.216161,-0.2041
2025-01-10,recurring,IWY,234.46,2120.08,230.979996,235.070007,True,228.960007,2.4022,False,False,False,0.7088,True,245.039993,228.960007,2.4022,False,229.25,-2.2221,237.509995,1.3009,4.359285,True,True,232.285267,-0.9275
2025-01-10,recurring,MOAT,91.55,2024.05,90.910004,91.919998,True,90.739998,0.8927,False,True,True,0.2727,False,98.949997,90.739998,0.8927,False,90.75,-0.8738,92.93,1.5074,1.288571,True,False,91.878929,0.3593
2025-01-10,recurring,VNQ,85.93,2072.22,85.480003,86.519997,True,85.279999,0.7622,False,True,True,0.1416,False,95.129997,85.279999,0.7622,False,85.480003,-0.5237,88.089996,2.5137,1.514284,False,False,87.437498,1.7543
2025-01-10,recurring,RSP,174.17,2099.98,173.070007,174.949997,True,172.380005,1.0384,False,False,True,0.27,False,184.179993,172.380005,1.0384,False,172.559998,-0.9244,177.919998,2.1531,2.287857,True,False,175.356516,0.6812
2025-02-03,recurring,PFF,31.51,2026.59,31.42,31.610001,True,31.4,0.3503,True,True,True,0.2391,False,32.279999,31.24,0.8643,False,31.4,-0.3491,31.639999,0.4126,0.294286,False,False,31.579999,0.2221
